Rk,Class,Unnamed: 2,Player,Team,Conf,Minutes_Avg,PRPG,BPM,ORtg,Usg,eFG,TS,OR,DR,Ast,TO,Blk,Stl,FTR,2P,Unnamed: 21,3P/100,3P,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Last_5_Avg_FP,Opp_Def_Rank
774,So,6-9,Dovydas Butka,Campbell,CAA,33.92,2.1,0.2,103.5,22.6,51.8,52.1,9.5,19.8,13.2,16.4,0.5,1.8,58.4,80-146,0.548,2.1,4-20,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.35,190
775,Jr,6-5,William Kermoury,Northeastern,CAA,22.799999999999997,2.1,1.4,119.3,20.5,62.3,64.0,2.2,10.5,16.2,15.2,0.0,1.9,19.0,14-31,0.452,14.7,43-95,0.453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.35,117
776,Jr,6-11,Drew Fielder,Boise St.,MWC,20.76,2.1,4.1,105.7,27.3,55.2,57.2,8.7,15.0,10.9,17.9,2.2,1.2,29.6,48-88,0.545,7.2,14-37,0.378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.35,235
777,So,6-4,Tey Barbour,Harvard,Ivy,32.32,2.1,-0.2,115.9,17.1,57.4,60.8,2.4,18.5,7.7,13.4,1.0,1.0,25.0,21-39,0.538,11.3,35-89,0.393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.35,38
778,Sr,6-7,Michael Houge,Oakland,Horz,19.52,2.1,-2.9,110.0,22.8,55.4,60.5,6.4,16.9,3.7,17.0,1.3,1.4,41.1,59-103,0.573,1.6,2-9,0.222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.35,238
779,Jr,6-3,Jacoi Hutchinson,Longwood,BSth,27.319999999999997,2.1,1.3,114.1,22.1,46.5,54.0,3.1,8.6,26.2,13.6,1.1,2.9,43.8,52-105,0.495,5.1,10-39,0.256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.35,39
780,So,6-8,Kam Williams,Kentucky,SEC,19.96,2.1,4.3,128.5,14.6,58.8,62.1,5.4,10.2,7.5,11.0,2.6,1.8,18.8,17-23,0.739,11.0,22-62,0.355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.35,138
781,Sr,6-8,Jaquan Scott,Arkansas Pine Bluff,SWAC,26.68,2.1,-2.6,100.7,30.3,46.3,53.6,9.3,19.5,10.0,18.2,2.3,1.9,38.1,65-148,0.439,4.1,11-28,0.393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.35,160
782,Sr,6-5,Devin Askew,Villanova,BE,21.72,2.1,3.1,116.1,19.9,50.8,53.2,4.3,8.6,14.0,12.2,0.6,2.6,13.1,26-60,0.433,10.8,24-62,0.387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.35,247
783,Sr,6-7,Tyon Grant-Foster,Gonzaga,WCC,20.68,2.1,5.8,111.1,25.0,55.7,57.8,8.9,15.3,6.5,16.2,7.4,1.7,44.7,67-114,0.588,5.2,11-36,0.306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.35,163
784,So,6-4,Ian Jackson,St. John's (NY),BE,20.16,2.1,3.8,112.3,22.9,54.0,58.3,1.7,12.6,11.1,17.7,1.2,1.9,24.1,32-61,0.525,12.9,28-76,0.368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.35,165
785,Sr,6-7,Rickey Ballard,Grambling St.,SWAC,21.16,2.1,4.0,129.9,14.2,68.0,69.5,4.3,8.4,8.6,13.6,1.5,3.7,52.5,10-15,0.667,8.9,21-46,0.457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.35,52
786,Jr,6-0,Braeden Smith,Gonzaga,WCC,18.759999999999998,2.1,8.1,123.7,18.0,54.4,58.3,1.4,11.5,33.3,20.4,0.0,3.5,28.7,27-49,0.551,4.9,11-31,0.355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.35,340
787,Fr,6-9,Matas Deniusas,Tennessee Martin,OVC,27.24,2.1,0.0,107.9,26.6,47.0,53.0,7.3,12.4,15.5,16.1,3.4,1.2,44.1,43-93,0.462,9.1,19-59,0.322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.35,163
788,Sr,6-2,Jordan Battle,Old Dominion,SB,30.439999999999998,2.1,1.9,109.9,21.5,48.2,57.8,3.3,14.9,17.8,17.7,0.0,3.1,62.7,25-70,0.357,7.8,29-72,0.403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.35,234
789,Sr,6-3,Marcus Hill,Texas A&M,SEC,21.68,2.0,3.8,117.4,22.3,55.1,59.4,4.8,9.2,15.2,14.8,0.3,3.2,64.4,53-84,0.631,5.1,8-34,0.235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,103
790,Jr,6-6,RaSheed Jones,Coastal Carolina,SB,35.08,2.0,0.4,108.7,21.4,47.6,52.8,1.7,11.1,15.1,9.8,0.7,1.3,31.6,50-115,0.435,9.0,33-94,0.351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,151
791,Sr,6-3,Eric Parnell,Fairleigh Dickinson,NEC,27.360000000000003,2.0,0.7,113.0,20.4,53.2,54.7,2.8,9.7,7.5,7.6,0.7,1.2,6.4,19-37,0.514,18.7,43-120,0.358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,254
792,Sr,6-6,Carlos Hart,Eastern Michigan,MAC,32.92,2.0,1.0,105.3,24.0,46.7,53.0,5.6,13.2,17.0,16.3,1.0,2.0,51.5,52-116,0.448,5.9,18-53,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,193
793,So,6-0,Caleb Williams,Lafayette,Pat,33.04,2.0,-1.7,106.1,25.5,49.8,55.3,1.5,10.8,20.2,15.1,0.4,0.6,31.4,34-85,0.4,13.1,45-119,0.378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,13
794,Jr,6-3,Uriyah Rojas,Wyoming,MWC,16.8,2.0,4.9,124.8,20.8,57.4,58.9,3.7,10.3,20.0,11.8,0.0,1.6,21.3,24-45,0.533,10.9,20-49,0.408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,153
795,Jr,6-8,Cameron Williams,Portland,WCC,26.0,2.0,-0.1,115.4,19.2,57.2,61.4,8.3,15.1,7.0,15.0,0.8,0.8,40.2,65-108,0.602,3.0,7-24,0.292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,57
796,Jr,6-9,Berke Buyuktuncel,Nebraska,B10,22.159999999999997,2.0,6.2,113.8,19.3,51.1,55.1,10.2,18.6,14.2,16.0,5.8,2.1,45.5,33-56,0.589,5.2,8-32,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,145
797,Jr,6-2,Lateef Patrick Jr,Stephen F. Austin,Slnd,30.76,2.0,-0.2,102.9,27.5,44.8,48.6,3.6,8.8,13.5,13.6,0.2,2.5,24.4,51-107,0.477,13.0,26-94,0.277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,192
798,So,6-3,Justin Ray,Monmouth,CAA,30.239999999999995,2.0,-1.4,115.7,17.0,50.0,55.4,1.2,6.8,9.7,7.9,0.2,1.7,28.5,33-74,0.446,8.6,26-70,0.371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,301
799,Sr,6-7,Michael Imariagbe,Wright St.,Horz,24.32,2.0,-0.5,110.5,26.4,55.1,59.0,10.9,15.1,12.9,18.6,4.2,1.1,64.1,63-111,0.568,1.0,1-6,0.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,203
800,Sr,6-1,Kintavious Dozier,Alabama A&M,SWAC,32.28,2.0,1.1,103.5,26.3,44.2,52.7,2.9,11.7,14.7,14.5,0.3,3.1,49.4,51-113,0.451,6.1,12-43,0.279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,160
801,So,6-5,Collin Chandler,Kentucky,SEC,22.28,2.0,5.1,120.8,16.7,53.8,56.8,1.6,11.2,17.0,12.3,2.0,2.7,21.2,17-36,0.472,10.8,26-68,0.382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,331
802,So,6-6,Ramone Seals,Kennesaw State,CUSA,21.68,2.0,1.8,119.7,18.4,53.7,58.6,7.4,17.3,2.6,13.1,3.0,1.3,41.1,24-45,0.533,9.2,18-50,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,124
803,Jr,6-8,Joseph Tugler,Houston,B12,22.840000000000003,2.0,9.0,113.5,20.6,55.2,56.6,14.7,13.5,9.5,19.5,9.6,5.2,22.6,57-105,0.543,0.2,1-1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,106
