Rk,Player,,,Team,Conf,Min%,PRPG!,BPM,ORtg,Usg,eFG,TS,OR,DR,Ast,TO,Blk,Stl,FTR,2P,,3P/100,3P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Jr,7-0,Nolan Winter,Wisconsin,B10,73.4,4.8,9.4,136.9,18.8,65.7,69.1,8.7,25.0,11.0,10.7,4.4,1.3,48.5,64-87,.736,5.6,16-47,.340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Jr,6-10,Braden Huff,Gonzaga,WCC,63.0,4.8,10.4,136.0,24.2,67.8,67.2,12.4,11.4,10.8,8.3,2.4,1.0,18.3,138-198,.697,2.5,7-21,.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Fr,6-1,Isaiah Johnson,Colorado,B12,64.6,4.8,9.1,138.5,23.6,59.1,67.0,5.5,7.4,15.6,8.0,0.0,2.4,81.8,45-83,.542,7.3,24-54,.444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Sr,6-1,Ja'Kobi Gillespie,Tennessee,SEC,80.6,4.8,8.8,122.7,26.0,53.5,57.4,1.9,7.6,31.2,17.0,1.2,2.6,23.1,55-105,.524,13.7,45-124,.363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Jr,6-0,Josh Hubbard,Mississippi St.,SEC,79.9,4.7,7.2,115.4,31.6,51.3,56.2,0.4,6.5,24.4,12.2,0.4,2.4,35.3,72-142,.507,14.6,47-136,.346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Jr,6-9,Malik Reneau,Miami FL,ACC,66.2,4.7,10.3,126.1,31.0,60.8,64.8,11.9,16.1,16.9,15.5,4.4,1.4,41.5,108-175,.617,4.8,14-37,.378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,So,6-1,Robert Wright III,BYU,B12,83.8,4.7,6.3,121.4,24.8,55.4,58.1,2.7,8.3,27.8,15.4,0.2,2.3,24.8,72-147,.490,6.9,31-67,.463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Sr,6-3,Tre Donaldson,Miami FL,ACC,81.0,4.7,7.8,126.8,24.5,53.8,57.8,3.0,9.0,33.9,13.9,0.7,2.4,36.9,66-120,.550,8.0,26-75,.347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Sr,6-7,Tyler Nickel,Vanderbilt,SEC,73.3,4.7,10.3,143.7,15.7,71.1,72.1,3.3,9.9,7.5,7.3,2.7,1.4,16.9,24-34,.706,13.8,57-120,.475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Sr,6-9,Graham Ike,Gonzaga,WCC,65.7,4.7,9.7,126.2,25.9,56.4,60.7,8.0,24.0,14.6,10.5,2.8,0.9,47.3,101-173,.584,3.4,9-30,.300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
